latiude,longitude,候補1,候補2
43.796555,142.375389,モスバーガー春光ロック店,
43.022484,141.406761,月寒東1-13交差点,
34.094055,133.649498,観音寺市大野原町大野原交差点,
34.437706,132.721122,西条町寺家交差点,
34.437708,132.721128,西条町寺家交差点,
43.022499,141.407059,月寒東1-13交差点,
34.093834,133.648918,観音寺市大野原町大野原交差点,
43.020775,141.405217,イトーヨーカドー福住店,
43.020792,141.405278,イトーヨーカドー福住店,
43.020778,141.405258,イトーヨーカドー福住店,
43.020778,141.405264,イトーヨーカドー福住店,
43.020786,141.405239,イトーヨーカドー福住店,
43.020792,141.405261,イトーヨーカドー福住店,
43.020699,141.405136,イトーヨーカドー福住店,
43.020706,141.405235,イトーヨーカドー福住店,
43.020767,141.405258,イトーヨーカドー福住店,
43.020803,141.405275,イトーヨーカドー福住店,
43.020756,141.405306,イトーヨーカドー福住店,
43.020772,141.405258,イトーヨーカドー福住店,
43.020808,141.405233,イトーヨーカドー福住店,
43.020714,141.405281,イトーヨーカドー福住店,
43.02076,141.40522,イトーヨーカドー福住店,
43.020789,141.405281,イトーヨーカドー福住店,
43.020714,141.405266,イトーヨーカドー福住店,
43.020692,141.405358,イトーヨーカドー福住店,
43.020752,141.405273,イトーヨーカドー福住店,
43.020714,141.405281,イトーヨーカドー福住店,
43.020794,141.405281,イトーヨーカドー福住店,
43.020905,141.405334,イトーヨーカドー福住店,
43.020789,141.405281,イトーヨーカドー福住店,
43.020775,141.405278,イトーヨーカドー福住店,
43.020699,141.405266,イトーヨーカドー福住店,
43.020778,141.405256,イトーヨーカドー福住店,
43.020783,141.405267,イトーヨーカドー福住店,
43.020767,141.405308,イトーヨーカドー福住店,
43.020786,141.405269,イトーヨーカドー福住店,
43.020786,141.405269,イトーヨーカドー福住店,
43.020756,141.405278,イトーヨーカドー福住店,
43.020775,141.405243,イトーヨーカドー福住店,
43.020819,141.405297,イトーヨーカドー福住店,
43.020844,141.405334,イトーヨーカドー福住店,
42.675828,141.670158,あけぼの町1交差点,
43.020792,141.405269,イトーヨーカドー福住店,
43.020775,141.405228,イトーヨーカドー福住店,
43.020752,141.405243,イトーヨーカドー福住店,
43.020772,141.405253,イトーヨーカドー福住店,
43.020786,141.405222,イトーヨーカドー福住店,
43.020733,141.405289,イトーヨーカドー福住店,
43.020786,141.405278,イトーヨーカドー福住店,
43.020861,141.405211,イトーヨーカドー福住店,
43.020861,141.405211,イトーヨーカドー福住店,
43.020706,141.405211,イトーヨーカドー福住店,
43.020706,141.40538,イトーヨーカドー福住店,
43.020797,141.405256,イトーヨーカドー福住店,
43.020767,141.405211,イトーヨーカドー福住店,
43.020778,141.405264,イトーヨーカドー福住店,
43.020781,141.405247,イトーヨーカドー福住店,
43.020767,141.405283,イトーヨーカドー福住店,
43.02076,141.405151,イトーヨーカドー福住店,
43.020769,141.40525,イトーヨーカドー福住店,
43.020775,141.405197,イトーヨーカドー福住店,
43.0208,141.405367,イトーヨーカドー福住店,
43.020676,141.405228,イトーヨーカドー福住店,
43.020744,141.405267,イトーヨーカドー福住店,
43.020935,141.405266,イトーヨーカドー福住店,
43.020729,141.405319,イトーヨーカドー福住店,
43.020781,141.405161,イトーヨーカドー福住店,
43.020764,141.405208,イトーヨーカドー福住店,
41.8144,140.735014,昭和2丁目交差点,
41.814356,140.735172,昭和2丁目交差点,
41.814461,140.734962,昭和2丁目交差点,
41.814456,140.735069,昭和2丁目交差点,
38.228722,140.889366,あすと長町1丁目北交差点,
38.228731,140.88945,あすと長町1丁目北交差点,
38.228756,140.889514,あすと長町1丁目北交差点,
38.228745,140.88945,あすと長町1丁目北交差点,
38.228767,140.889461,あすと長町1丁目北交差点,
38.228756,140.889661,あすと長町1丁目北交差点,
38.228717,140.889561,あすと長町1丁目北交差点,
38.228772,140.889483,あすと長町1丁目北交差点,
